id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1198560213072146433,1198560213072146433,1574593997000,2019-11-24,11:13:17,UTC,1045690731027935232,santanu23749559,Santanu Roy,,"India needs @MPNaveenJindal to restart the Indian Economy. Power, Minerals and Manufacturing sector can bring back India to 9% GDP. #JSW will save India.",['mpnaveenjindal'],[],[],0,0,0,['#jsw'],[],https://twitter.com/Santanu23749559/status/1198560213072146433,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1045690731027935232', 'username': 'Santanu23749559'}, {'user_id': '358136545', 'username': 'MPNaveenJindal'}]",
1198553425828401152,1198192202192769024,1574592379000,2019-11-24,10:46:19,UTC,1099746333680750592,shankartiku,Ravi Shankar tiku,,Pefect understanding of economy .,['nailainayat'],[],[],0,0,0,[],[],https://twitter.com/ShankarTiku/status/1198553425828401152,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1099746333680750592', 'username': 'ShankarTiku'}, {'user_id': '320592813', 'username': 'nailainayat'}]",
1198511141648916481,1198202468393316353,1574582298000,2019-11-24,07:58:18,UTC,3020001062,rc54321rahul,Rahul Chaudhry,,"Lovely articulations “Future historians – if they are free to ply their craft”  ...  

Either that or if Maharashtra swings, on 4 th Dec Karnataka could be next to slip out, leaving only Gujarat as GST+ state with Modi. Economy has shaped events & history eg post Tito Yugoslavia",['ram_guha'],[],[],0,0,0,[],[],https://twitter.com/Rc54321Rahul/status/1198511141648916481,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '3020001062', 'username': 'Rc54321Rahul'}, {'user_id': '1657730988', 'username': 'Ram_Guha'}]",
1198459814986301440,1198459814986301440,1574570060000,2019-11-24,04:34:20,UTC,1141106746922078208,searchyourstays,Search Your Stays,,"Each Corporate is a part of the major development in the economy..

What we do is look after their Growth points..

Connect now and get to know...what's gonn happen next in these steps

 http://SearchYourStays.com 
#TheGlobeWanderer #TravelDeeper
#SuccessSecrets pic.twitter.com/sUxbYbTsEP",[],['http://SearchYourStays.com'],['https://pbs.twimg.com/media/EKHI2cWWsAI4-xl.png'],0,0,0,"['#theglobewanderer', '#traveldeeper', '#successsecrets']",[],https://twitter.com/SearchYourStays/status/1198459814986301440,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1141106746922078208', 'username': 'SearchYourStays'}]",
1198449596797554689,1198449596797554689,1574567624000,2019-11-24,03:53:44,UTC,923986204009291776,ss_gurprit,Gurprit SS,,"@RajivKumar1 
India's unemployment can drop overall if our plan is studied and implemented.

Once done, nothing can stop us to achieve the 5 trillion economy target  https://twitter.com/RajivKumar1/status/1198444451493900293 …",['rajivkumar1'],['https://twitter.com/RajivKumar1/status/1198444451493900293'],[],0,0,0,[],[],https://twitter.com/ss_gurprit/status/1198449596797554689,False,https://twitter.com/RajivKumar1/status/1198444451493900293,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '923986204009291776', 'username': 'ss_gurprit'}, {'user_id': '609884455', 'username': 'RajivKumar1'}]",
1198447082371047424,1198447082371047424,1574567025000,2019-11-24,03:43:45,UTC,923986204009291776,ss_gurprit,Gurprit SS,,"@PMOIndia
@PiyushGoyal
@HardeepSPuri 
Pollution can be controlled.

Govt must act immediately on plans ready with us.

This will Revive Economy and Control Pollution  https://twitter.com/bopinion/status/1198444128864002048 …","['pmoindia', 'piyushgoyal', 'hardeepspuri']",['https://twitter.com/bopinion/status/1198444128864002048'],[],1,0,0,[],[],https://twitter.com/ss_gurprit/status/1198447082371047424,False,https://twitter.com/bopinion/status/1198444128864002048,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '923986204009291776', 'username': 'ss_gurprit'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '1324334436', 'username': 'PiyushGoyal'}, {'user_id': '2289628938', 'username': 'HardeepSPuri'}]",
1198302554943176704,1198272038110023680,1574532567000,2019-11-23,18:09:27,UTC,1862698399,npandey25,nitp,,"Somesh, where are those CAs who said the economy is just fine. 
They should be stripped...... Hear me out please..... Stripped of their CA degree.
#economykasawal","['someshjha7', 'zen_twt']",[],[],0,0,0,['#economykasawal'],[],https://twitter.com/npandey25/status/1198302554943176704,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1862698399', 'username': 'npandey25'}, {'user_id': '232146889', 'username': 'someshjha7'}, {'user_id': '3689899693', 'username': 'Zen_twt'}]",
1198217454620688384,1198217454620688384,1574512277000,2019-11-23,12:31:17,UTC,887215191481499648,pincap_in,PinCap,,Vice Premier Liu He says China will firmly encourage and support private economy  https://news.cgtn.com/news/2019-11-22/Liu-He-says-China-will-firmly-encourage-and-support-private-economy-LPklCKGElW/index.html …,[],['https://news.cgtn.com/news/2019-11-22/Liu-He-says-China-will-firmly-encourage-and-support-private-economy-LPklCKGElW/index.html'],[],0,0,0,[],[],https://twitter.com/PinCap_In/status/1198217454620688384,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '887215191481499648', 'username': 'PinCap_In'}]",
1198174647633625090,1198174647633625090,1574502071000,2019-11-23,09:41:11,UTC,1138872907675738112,ddg_save,Ronak Jain,,Flagbearers of honesty joining hands with the ones they have always accused of corruption. Fanbois will obviously justify this too. How long before people finally realize that this man is fucking our country and economy day by day?  pic.twitter.com/RZfmGDfJ9n,[],[],['https://pbs.twimg.com/media/EKDFfGyUUAA3ji7.jpg'],0,0,1,[],[],https://twitter.com/DDG_SAVE/status/1198174647633625090,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1138872907675738112', 'username': 'DDG_SAVE'}]",
1198172807454023681,1198172807454023681,1574501632000,2019-11-23,09:33:52,UTC,3253562222,lokesh_deep,Lokesh Deep,,"Look at the bright side: in this economy, at least the Resorts have a Stable business.  https://twitter.com/tavleen_singh/status/1198159125412233216 …",[],['https://twitter.com/tavleen_singh/status/1198159125412233216'],[],0,0,1,[],[],https://twitter.com/lokesh_deep/status/1198172807454023681,False,https://twitter.com/tavleen_singh/status/1198159125412233216,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '3253562222', 'username': 'lokesh_deep'}]",
1198138707372466176,1198138707372466176,1574493502000,2019-11-23,07:18:22,UTC,742188926035578880,s_mansharamani,Suresh Mansharamani,,"Startups Are The New Warriors Of Our Economy.

#BusinessMindset #entrepreneurship #motivation #businessman #moneymatters #publicspeaking #publicspeaker #ownthestage #trainthetrainer #businesscoach pic.twitter.com/AGRoWBcax4",[],[],['https://pbs.twimg.com/media/EKCkvqgU8AITvAa.jpg'],0,0,0,"['#businessmindset', '#entrepreneurship', '#motivation', '#businessman', '#moneymatters', '#publicspeaking', '#publicspeaker', '#ownthestage', '#trainthetrainer', '#businesscoach']",[],https://twitter.com/S_Mansharamani/status/1198138707372466176,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '742188926035578880', 'username': 'S_Mansharamani'}]",
