id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1199719343250190336,1199702847769759749,1574870355000,2019-11-27,15:59:15,UTC,34983430,hemantbuch,Hemant,,"I don’t know how liquor would help..double or single. And cricket’s wealth is largely to do with broadcasting, as is that of most wealthy sports","['drnaumanniaz', 'falamb3']",[],[],0,0,5,[],[],https://twitter.com/hemantbuch/status/1199719343250190336,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '34983430', 'username': 'hemantbuch'}, {'user_id': '411303993', 'username': 'DrNaumanNiaz'}, {'user_id': '727059528', 'username': 'falamb3'}]",
1199714187003318272,1199714187003318272,1574869126000,2019-11-27,15:38:46,UTC,4365118092,chaseyoursport,Sports Social,,"#OnThisDay in #Cricket History,

On 27th November 1993, the host India and West Indies met each other in the final of the Hero Cup. India won a thrilling Semi-Final by just two runs against South Africa.

Down to the memory lane: http://bit.ly/33ramxJ ",[],['http://bit.ly/33ramxJ'],[],0,0,0,"['#onthisday', '#cricket']",[],https://twitter.com/chaseyoursport/status/1199714187003318272,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '4365118092', 'username': 'chaseyoursport'}]",
1199709179000176640,1199709179000176640,1574867932000,2019-11-27,15:18:52,UTC,974894291561664513,dramrita5,Dr Amrita,,Sports Day at our GEMS school in Kochi  https://twitter.com/gma_kochi/status/1199288473900871681 …,[],['https://twitter.com/gma_kochi/status/1199288473900871681'],[],0,0,0,[],[],https://twitter.com/DrAmrita5/status/1199709179000176640,False,https://twitter.com/GMA_Kochi/status/1199288473900871681,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '974894291561664513', 'username': 'DrAmrita5'}]",
1199706642855546880,1199289805366026240,1574867327000,2019-11-27,15:08:47,UTC,1632302474,rmsportsroots,Rajesh Mehrotra,,Would love if you can spare 15 minutes for us. Building a platform to deliver world class sports experiences for K12 in 🇮🇳.,['neerajarora'],[],[],1,0,0,[],[],https://twitter.com/rmsportsroots/status/1199706642855546880,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1632302474', 'username': 'rmsportsroots'}, {'user_id': '6989452', 'username': 'neerajarora'}]",
1199705332836003840,1199705332836003840,1574867015000,2019-11-27,15:03:35,UTC,765214563511992320,pranshusports,Pranshu Singh,,time to welcome big names who wished you @ImRaina hehehe,['imraina'],[],[],0,0,0,[],[],https://twitter.com/PranshuSports/status/1199705332836003840,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '765214563511992320', 'username': 'PranshuSports'}, {'user_id': '121044171', 'username': 'ImRaina'}]",
1199668991075074048,1199668991075074048,1574858350000,2019-11-27,12:39:10,UTC,1046694300266901505,ekamrasportslit,Ekamra Sports Literature Festival,,"FAVORITE SPORTS BOOK OF SPORTSPERSONS 
@KP24 @harbhajan_singh @PankajAdvani247 @16Sreejesh @mandeepsingh995 @rupinderbob3 @shreyasi_iam @yukibhambri @simontaufel69 @AndreAgassi #sports
 https://youtu.be/eqFmv1yI2mk ","['kp24', 'harbhajan_singh', 'pankajadvani247', '16sreejesh', 'mandeepsingh995', 'rupinderbob3', 'shreyasi_iam', 'yukibhambri', 'simontaufel69', 'andreagassi']",['https://youtu.be/eqFmv1yI2mk'],[],0,0,1,['#sports'],[],https://twitter.com/ekamrasportslit/status/1199668991075074048,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1046694300266901505', 'username': 'ekamrasportslit'}, {'user_id': '171117515', 'username': 'KP24'}, {'user_id': '92945681', 'username': 'harbhajan_singh'}, {'user_id': '341363220', 'username': 'PankajAdvani247'}, {'user_id': '1174633142', 'username': '16Sreejesh'}, {'user_id': '2409259051', 'username': 'mandeepsingh995'}, {'user_id': '1715723568', 'username': 'rupinderbob3'}, {'user_id': '983947281559797761', 'username': 'shreyasi_iam'}, {'user_id': '118701244', 'username': 'yukibhambri'}, {'user_id': '2489432965', 'username': 'simontaufel69'}, {'user_id': '89112033', 'username': 'AndreAgassi'}]",
1199629723086622721,1199629723086622721,1574848988000,2019-11-27,10:03:08,UTC,190226038,kesaridhwaj,VatsRohit,,"My goodness!!!
He's huge.
Since 1947, Services, especially the Army, has done an amazing job of nurturing sports talent. It has provided such talent with infra, coaching, right kind of diet, and time. Taken them off soldiering duties to concentrate on their passion.  https://twitter.com/ANI/status/1199548903730774017 …",[],['https://twitter.com/ANI/status/1199548903730774017'],[],4,18,81,[],[],https://twitter.com/KesariDhwaj/status/1199629723086622721,False,https://twitter.com/ANI/status/1199548903730774017,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '190226038', 'username': 'KesariDhwaj'}]",
1199596071820902400,1199596071820902400,1574840965000,2019-11-27,07:49:25,UTC,726002293167022080,ishanraghav1,Ishan Raghav,,"@jitupatwari, 
We were not expecting this from a leader who had got a full mandate. 
MPPSC Assistant Professor, Lib Officer and Sports Officers are waiting for their joining since inception. 
@CMMadhyaPradesh @RahulGandhi
@ndtv @aajtak @republic @ABPNews pic.twitter.com/1xgrStCcvo","['jitupatwari', 'cmmadhyapradesh', 'rahulgandhi', 'ndtv', 'aajtak', 'republic', 'abpnews']",[],['https://pbs.twimg.com/media/EKXSQyYW4AImXkz.jpg'],0,0,1,[],[],https://twitter.com/IshanRaghav1/status/1199596071820902400,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '726002293167022080', 'username': 'IshanRaghav1'}, {'user_id': '223080911', 'username': 'jitupatwari'}, {'user_id': '2506662439', 'username': 'CMMadhyaPradesh'}, {'user_id': '3171712086', 'username': 'RahulGandhi'}, {'user_id': '37034483', 'username': 'ndtv'}, {'user_id': '42606652', 'username': 'aajtak'}, {'user_id': '811972460560019456', 'username': 'republic'}, {'user_id': '39240673', 'username': 'ABPNews'}]",
1199587897910759424,1199587897910759424,1574839016000,2019-11-27,07:16:56,UTC,765214563511992320,pranshusports,Pranshu Singh,,still i love to watch @WWENetwork i know it's a fake but after knowing all the facts i can't resist myself away from it.,['wwenetwork'],[],[],0,0,0,[],[],https://twitter.com/PranshuSports/status/1199587897910759424,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '765214563511992320', 'username': 'PranshuSports'}, {'user_id': '368703433', 'username': 'WWENetwork'}]",
1199585613386641409,1199585613386641409,1574838472000,2019-11-27,07:07:52,UTC,1039041439223635974,amankau16682582,Aman Kaur,,"What is cost of ACL reconstruction in sports injury center in Delhi?
 https://www.quora.com/What-is-cost-of-ACL-reconstruction-in-sports-injury-center-in-Delhi/answer/Tajinder-Singh-Arora-2 …",[],['https://www.quora.com/What-is-cost-of-ACL-reconstruction-in-sports-injury-center-in-Delhi/answer/Tajinder-Singh-Arora-2'],[],0,0,1,[],[],https://twitter.com/AmanKau16682582/status/1199585613386641409,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1039041439223635974', 'username': 'AmanKau16682582'}]",
